expense_id,matter_id,expense_date,expense_type,amount,vendor
415,30,2024-11-06,Travel,8876.65,Sanchez Group
416,30,2024-02-20,Filing Fees,2344.2,"Lynch, Parker and Harmon"
417,30,2024-09-29,Research/Legal Database,10740.34,Smith and Sons
418,30,2024-09-15,Expert Witness,5242.22,Crawford LLC
419,30,2024-07-14,Travel,7731.96,"Green, Watson and Brady"
420,30,2024-11-15,Mediation Services,5381.58,"Tanner, Wise and Johnson"
421,30,2024-10-23,Mediation Services,6242.43,Warren-Baker
422,30,2024-12-22,Court Fees,517.32,"Jones, Gibson and Ward"
423,30,2024-07-05,Expert Witness,19698.69,"Jackson, Moore and Ayala"
424,30,2024-11-23,Research/Legal Database,4417.22,"Sharp, Perez and Hicks"
425,30,2024-01-25,Mediation Services,13537.59,Sanchez Group
426,30,2024-05-18,Mediation Services,10791.87,White Inc
427,30,2024-07-24,Deposition,5978.36,"Yang, Barnes and Morris"
428,30,2024-06-06,Research/Legal Database,13911.12,"Flores, Mckenzie and Duncan"
429,30,2024-02-21,Transcript Services,2978.28,"Winters, White and Brock"
430,30,2024-12-24,Transcript Services,11625.94,Jones-Marshall
431,30,2024-04-19,Expert Witness,7683.86,Murphy-Tran
432,30,2024-01-12,Filing Fees,2902.92,Carter LLC
433,30,2024-09-29,Filing Fees,1238.06,Marshall PLC
434,31,2024-08-28,Filing Fees,4701.03,Oconnor PLC
435,31,2024-06-25,Travel,2595.79,Hernandez Group
436,31,2023-11-17,Mediation Services,14897.68,"Reed, Franco and Wiley"
437,31,2024-08-22,Travel,8938.13,Blake Group
438,31,2024-07-22,Mediation Services,9336.5,"Parker, Harris and Bird"
439,31,2024-03-15,Filing Fees,3529.29,Kaufman and Sons
440,31,2024-06-11,Travel,2930.41,Williams and Sons
441,31,2024-08-06,Investigation,6408.88,"Gutierrez, Huang and Ellis"
442,31,2024-06-22,Court Fees,2775.46,"Davis, Anderson and Wilkins"
443,31,2023-12-02,Court Fees,4474.73,"Brown, Bates and Anderson"
444,31,2024-02-05,Mediation Services,13739.24,Howe-Long
445,31,2024-07-17,Filing Fees,1296.65,Stewart-Nelson
446,31,2023-12-02,Investigation,2018.95,Taylor PLC
447,31,2023-12-12,Filing Fees,2984.67,Martin Group
448,31,2024-02-12,Court Fees,503.69,Herrera and Sons
449,31,2024-03-25,Court Fees,1354.42,Baker-Wilson
450,31,2023-12-27,Mediation Services,11970.98,"Torres, Bush and Morrison"
451,31,2024-01-13,Travel,9100.62,Hernandez-Dawson
452,31,2024-08-27,Transcript Services,2709.14,Palmer-Byrd
453,32,2024-04-12,Mediation Services,11100.8,Johnson Group
454,32,2024-08-02,Travel,4143.95,"Adkins, Wright and Murray"
455,32,2024-07-24,Research/Legal Database,7185.76,Martinez Inc
456,32,2024-07-29,Transcript Services,11060.68,Anderson Group
457,32,2024-05-03,Court Fees,2877.6,"Pace, Miller and Willis"
458,32,2024-08-14,Deposition,7374.22,Johnson Inc
459,32,2024-04-01,Expert Witness,23272.73,"Ramos, Anderson and Stein"
460,32,2024-07-28,Investigation,7648.62,Martinez-Dunlap
461,32,2024-03-04,Court Fees,3427.89,"Hamilton, Ramsey and Crawford"
462,32,2024-05-05,Filing Fees,3899.83,Thompson-Lewis
463,32,2024-03-30,Deposition,8429.7,Griffin-Hernandez
464,32,2024-06-18,Research/Legal Database,590.97,"Sanchez, Phillips and Jenkins"
465,32,2024-06-06,Mediation Services,8078.38,Miller Group
466,32,2024-03-20,Document Review,4086.75,Day PLC
467,32,2024-04-10,Court Fees,3295.26,"Norton, Mayo and Casey"
468,32,2024-05-01,Investigation,9297.13,"Harrington, Cooper and Cunningham"
469,32,2024-04-24,Filing Fees,1025.5,White-Flores
470,32,2024-04-05,Mediation Services,10574.51,Brown-Frey
471,32,2024-06-02,Deposition,9729.43,"Key, Dickson and Garcia"
472,32,2024-06-26,Filing Fees,3108.0,Ferguson-Moody
473,32,2024-07-11,Mediation Services,9827.15,Johnston Group
474,32,2024-04-30,Mediation Services,10545.3,Thompson PLC
475,33,2024-11-12,Investigation,3083.83,"Wolfe, Sloan and Johnson"
476,33,2024-12-09,Expert Witness,49580.41,"Elliott, Hart and Lopez"
477,33,2024-12-30,Research/Legal Database,10671.68,Weaver-Thompson
478,33,2024-10-23,Filing Fees,2158.88,Hall and Sons
479,33,2024-10-22,Filing Fees,2902.4,Smith-Hardin
480,33,2024-11-04,Research/Legal Database,9368.72,Peterson and Sons
481,33,2024-12-25,Deposition,6172.72,Brown-Hernandez
482,33,2024-12-10,Court Fees,1122.65,Schroeder PLC
483,33,2024-12-21,Investigation,3460.03,Brooks Ltd
484,33,2024-11-18,Transcript Services,7854.83,Rogers LLC
485,33,2024-10-30,Transcript Services,13421.08,Oconnor Group
486,33,2024-12-16,Research/Legal Database,5479.71,Banks-Thompson
487,33,2024-12-28,Travel,6421.1,"Preston, Austin and Kelly"
488,33,2024-12-07,Filing Fees,3327.24,Gray Ltd
489,33,2024-12-08,Expert Witness,39379.83,Thompson Inc
490,33,2024-12-27,Document Review,13355.62,"Myers, Gamble and Sanford"
491,34,2023-07-25,Transcript Services,825.88,"Flores, Lamb and Carr"
492,34,2024-06-18,Document Review,9597.32,Zuniga and Sons
493,34,2024-01-03,Research/Legal Database,11590.07,Young LLC
494,34,2023-10-06,Filing Fees,2403.73,Underwood Ltd
495,34,2024-06-18,Document Review,1412.47,Griffin-Baker
496,34,2023-11-20,Investigation,8824.37,Bell Inc
497,34,2024-08-01,Filing Fees,2679.94,Cruz Ltd
498,34,2024-02-20,Mediation Services,555.78,Wilkerson Group
499,34,2024-10-27,Transcript Services,7130.62,Payne-Garcia
500,34,2024-03-23,Investigation,4196.2,"Curtis, Mcdaniel and Martin"
501,34,2023-08-16,Deposition,7170.26,Phillips LLC
502,34,2023-11-26,Transcript Services,4621.29,Jones and Sons
503,34,2024-10-31,Document Review,1591.39,Dennis PLC
504,34,2024-11-29,Mediation Services,3306.35,Morgan PLC
505,34,2024-11-03,Transcript Services,12128.75,"Johnson, Dunlap and Martin"
506,34,2024-11-01,Document Review,2131.9,Brown LLC
507,34,2023-10-27,Investigation,4016.71,Ortiz PLC
508,34,2024-08-02,Investigation,8025.32,"Fernandez, Guerrero and Evans"
509,34,2023-08-28,Deposition,2856.32,Armstrong-Larsen
510,34,2023-09-29,Transcript Services,8278.3,Smith-Miller
511,34,2024-09-26,Mediation Services,2048.86,"Greene, Gonzalez and Johnson"
512,34,2023-10-08,Filing Fees,1818.35,Rowland-Wells
513,34,2023-09-08,Transcript Services,8238.71,Ruiz-Jacobson
514,35,2023-10-04,Document Review,5082.54,"Stephens, Lopez and Mcclure"
515,35,2023-12-07,Transcript Services,2916.65,Williams-Gonzales
516,35,2023-10-03,Mediation Services,12189.95,Elliott-Hernandez
517,35,2024-06-24,Expert Witness,19700.02,Miller LLC
518,35,2024-09-01,Research/Legal Database,2214.88,Arellano-Lawrence
519,35,2024-03-29,Expert Witness,12381.19,Cardenas-Barnes
520,35,2024-03-18,Research/Legal Database,14437.1,Armstrong-Young
521,35,2023-10-25,Expert Witness,22851.84,Orr-Klein
522,35,2024-02-26,Document Review,8516.72,"Mcbride, Byrd and Oliver"
523,35,2023-07-07,Expert Witness,5813.52,Thompson-Joyce
524,35,2024-12-10,Mediation Services,3097.55,Martinez Group
525,35,2023-06-12,Mediation Services,12586.68,"Graham, Osborn and Burton"
526,35,2024-09-17,Deposition,5680.75,Flores-Acosta
527,36,2024-12-16,Expert Witness,30032.69,Hughes Group
528,36,2024-11-27,Mediation Services,8810.45,Stone-Stark
529,36,2024-10-17,Travel,8874.41,"Dean, Mills and Barnes"
530,36,2024-11-17,Expert Witness,19844.6,Knight PLC
531,36,2024-12-12,Document Review,10167.98,Buckley PLC
532,36,2024-12-14,Mediation Services,8490.45,Dillon-Beard
533,36,2024-12-21,Transcript Services,9127.56,Reyes-Washington
534,36,2024-12-01,Investigation,4297.72,Jackson Group
535,36,2024-10-27,Court Fees,2989.99,"Becker, Morales and Foster"
536,36,2024-12-21,Filing Fees,4929.12,"Young, Reese and Mccall"
537,36,2024-12-23,Travel,1131.12,Morgan LLC
538,36,2024-11-09,Investigation,11930.39,Garrison-Cohen
539,37,2024-10-25,Expert Witness,5028.43,Taylor Ltd
540,37,2024-03-08,Expert Witness,35584.57,Adams-Butler
541,37,2024-06-04,Filing Fees,3918.98,Alexander Group
542,37,2024-07-16,Filing Fees,958.2,"Camacho, Nicholson and Robertson"
543,37,2023-11-06,Transcript Services,5660.42,Mckinney-Powell
544,38,2024-03-19,Expert Witness,46002.22,"Suarez, Johnson and Lee"
545,38,2024-04-23,Deposition,4486.62,Wright Group
546,38,2022-11-19,Court Fees,3010.81,Bush-Hill
547,38,2024-04-17,Transcript Services,3277.94,"Sanders, Leblanc and Maldonado"
548,38,2023-03-27,Investigation,14691.84,Wheeler-Thompson
549,38,2024-05-18,Document Review,6763.9,"Arnold, Cooper and Monroe"
550,38,2023-04-07,Transcript Services,1250.9,"Davis, Johnson and Williams"
551,38,2024-05-07,Investigation,13752.72,Vincent Ltd
552,38,2023-03-15,Expert Witness,34413.25,Adams Group
553,38,2023-09-23,Mediation Services,7345.51,"Smith, Buck and Holland"
554,38,2023-11-21,Filing Fees,4451.84,Walker PLC
555,39,2024-11-24,Expert Witness,10084.94,Marquez-Fletcher
556,39,2024-08-17,Travel,4849.54,York-Stevens
557,39,2024-08-06,Court Fees,714.22,Byrd-Holloway
558,39,2024-09-09,Document Review,13824.54,Smith Ltd
559,39,2024-12-24,Document Review,14270.56,Hoffman-Wheeler
560,39,2024-08-18,Document Review,2407.14,"Rodriguez, Brown and Mcneil"
561,40,2024-09-05,Expert Witness,22702.76,Green-Dawson
562,40,2024-11-26,Document Review,10146.34,Lopez-Holmes
563,40,2024-04-29,Filing Fees,3013.82,Trujillo PLC
564,40,2024-06-21,Filing Fees,4183.25,Becker-Griffith
565,40,2024-09-10,Deposition,2483.51,Green-Barnes
566,40,2024-06-16,Expert Witness,22002.34,Aguilar PLC
567,40,2024-11-01,Research/Legal Database,2194.02,Barber-Walker
568,40,2024-08-02,Deposition,6501.54,Knox-Powers
569,40,2024-07-24,Filing Fees,4425.09,Pittman PLC
570,40,2024-04-10,Research/Legal Database,5073.68,Ruiz Ltd
571,40,2024-05-05,Filing Fees,3956.53,"Hines, White and Frazier"
572,40,2024-05-30,Research/Legal Database,14114.64,Walker and Sons
573,40,2024-10-09,Research/Legal Database,2310.82,Fisher-Eaton
574,40,2024-06-11,Expert Witness,19930.33,"Carter, York and Ruiz"
575,40,2024-11-17,Travel,9386.83,"Carpenter, Oliver and Kennedy"
576,40,2024-04-14,Document Review,6873.86,Dillon Group
577,40,2024-08-01,Expert Witness,16637.89,Brown-Dickerson
578,40,2024-03-27,Document Review,7465.8,Cooper PLC
579,40,2024-11-26,Filing Fees,1866.08,Thomas-Huffman
580,40,2024-04-10,Document Review,10428.65,Freeman Ltd
581,40,2024-12-26,Deposition,4351.29,Walters-Smith
582,40,2024-05-10,Travel,6407.04,Johnston and Sons
583,40,2024-07-19,Deposition,2536.5,Anderson Group
584,40,2024-09-03,Travel,5809.4,Patterson-Woods
585,41,2023-09-30,Expert Witness,27009.45,"Gonzalez, Watson and Smith"
586,41,2023-11-22,Court Fees,4862.52,"Lee, Rhodes and Sims"
587,41,2023-11-10,Document Review,5328.75,"Wiley, Collins and Garcia"
588,41,2023-12-23,Deposition,2963.45,Jackson-Colon
589,41,2023-11-18,Research/Legal Database,10671.99,Bryant-Meyer
590,41,2023-12-26,Transcript Services,1317.17,Barron-Cowan
591,41,2023-11-26,Travel,4549.48,Howard-Lopez
592,41,2024-03-06,Research/Legal Database,14224.32,Smith-Walker
593,41,2024-03-12,Court Fees,4681.83,Gross PLC
594,41,2023-12-23,Investigation,3934.01,Richardson Ltd
595,41,2024-02-09,Research/Legal Database,9682.96,Mcdowell-Scott
596,41,2023-12-28,Investigation,7672.48,Wheeler Inc
597,41,2024-01-18,Filing Fees,3975.8,"Huff, Williams and Wilson"
598,41,2023-12-13,Mediation Services,9816.8,Kelley Group
599,41,2024-01-25,Travel,6557.37,Neal Ltd
600,42,2024-11-30,Deposition,7411.29,Stanley-Bates
601,42,2024-12-08,Deposition,5987.29,"Haynes, Barnes and Roach"
602,42,2024-12-15,Research/Legal Database,3123.7,"Wilson, Wilson and Rodriguez"
603,42,2024-12-06,Document Review,2969.51,Strickland PLC
604,42,2024-12-30,Deposition,2259.49,Warner-Phillips
605,42,2024-12-01,Deposition,1912.63,Lozano-Watts
606,42,2024-12-14,Court Fees,4898.74,Smith Ltd
607,42,2024-12-02,Deposition,5403.28,Conley Ltd
608,42,2024-12-15,Transcript Services,1718.48,Chan Inc
609,42,2024-12-22,Court Fees,746.33,Conway Ltd
610,42,2024-12-07,Expert Witness,28809.19,Baker-Williams
611,42,2024-12-25,Expert Witness,21347.28,Phelps LLC
612,42,2024-12-24,Transcript Services,1844.82,Simmons-Wilson
613,42,2024-12-26,Investigation,7084.57,Smith and Sons
614,42,2024-12-20,Document Review,7338.43,Murphy Group
615,42,2024-12-29,Deposition,6747.66,Johns-Davis
616,42,2024-12-25,Deposition,7951.4,Wilson Group
617,42,2024-12-29,Document Review,6856.23,Houston-Vaughn
618,42,2024-12-14,Mediation Services,11111.1,Banks-Robles
619,42,2024-12-03,Document Review,2125.96,"Barber, Jarvis and Richard"
620,42,2024-12-03,Investigation,2226.7,"Webb, Carroll and Kim"
621,42,2024-12-18,Transcript Services,4854.06,Carr-Huffman
622,43,2024-12-13,Investigation,3391.86,"Mcpherson, Anderson and Knapp"
623,43,2024-09-09,Document Review,12787.38,Alexander-Brown
624,43,2024-11-15,Transcript Services,3446.03,Bush Ltd
625,43,2024-10-30,Deposition,3082.31,"Ray, Cunningham and Levine"
626,43,2024-11-17,Mediation Services,8247.58,Stone-Watts
627,43,2024-11-10,Travel,2757.12,Stanley-Wright
628,43,2024-10-07,Mediation Services,3657.71,"Davidson, Hernandez and Serrano"
629,43,2024-12-14,Court Fees,4432.31,"Brown, Schneider and Moore"
630,43,2024-12-09,Court Fees,3597.71,Booth-Jones
631,43,2024-10-25,Travel,8429.48,Rivera LLC
632,43,2024-09-01,Mediation Services,13817.44,Pierce Group
633,43,2024-10-15,Research/Legal Database,6693.3,Miller Group
634,43,2024-12-03,Expert Witness,28084.09,Miller-Jimenez
635,43,2024-10-04,Mediation Services,8256.74,Mcgee-Smith
636,43,2024-10-15,Research/Legal Database,12275.23,Hawkins Inc
637,43,2024-12-06,Mediation Services,1490.6,"Richmond, Walsh and Wu"
638,43,2024-11-03,Research/Legal Database,7458.83,"Powers, Clements and Cox"
639,43,2024-09-01,Investigation,3346.34,Richard LLC
640,43,2024-11-03,Document Review,12494.54,"Greene, Moran and Cox"
641,43,2024-10-21,Filing Fees,1327.8,Malone and Sons
642,43,2024-08-26,Court Fees,1910.57,Gallegos-Brandt
643,43,2024-10-01,Court Fees,2503.27,"Brooks, Rodriguez and Prince"
644,43,2024-10-26,Document Review,6424.61,"Newton, Ortiz and King"
645,44,2024-09-17,Deposition,7560.45,Conrad Group
646,44,2024-09-20,Investigation,12276.43,Love Inc
647,44,2024-11-29,Mediation Services,1225.04,House Ltd
648,44,2024-11-07,Mediation Services,8685.61,Ellis-Lawrence
649,44,2024-10-27,Court Fees,2103.08,Smith-Fitzgerald
650,44,2024-11-02,Investigation,3225.88,Roberson-Webb
651,44,2024-10-28,Document Review,13105.67,Holt and Sons
652,44,2024-11-25,Investigation,1770.52,Garcia Ltd
653,44,2024-11-09,Investigation,6919.05,Gordon-Cruz
654,44,2024-12-28,Filing Fees,4700.82,"Farmer, Hill and Stuart"
655,44,2024-12-27,Transcript Services,12231.55,Ballard-Taylor
656,45,2024-10-09,Court Fees,4941.22,"Hunt, Cameron and Kelley"
657,45,2024-08-10,Travel,2889.1,"Walls, Chen and Harris"
658,45,2024-10-13,Filing Fees,1114.48,Parks-Morse
659,45,2024-07-03,Transcript Services,8846.08,"Santos, Mullen and Gordon"
660,45,2024-10-28,Filing Fees,3330.97,Page-Hodges
661,45,2024-09-30,Filing Fees,1678.97,"Duncan, Contreras and Butler"
662,45,2024-11-08,Deposition,1473.92,"Mitchell, Boone and Stokes"
663,45,2024-09-22,Transcript Services,8839.18,James Inc
664,45,2024-10-23,Expert Witness,36027.22,Adams and Sons
665,45,2024-12-27,Court Fees,717.01,"King, Franco and Vaughn"
666,45,2024-08-06,Transcript Services,8534.5,"Johnson, Cervantes and Garcia"
667,45,2024-12-03,Investigation,3804.19,"Hoffman, Walker and Holland"
668,45,2024-08-25,Expert Witness,28908.13,"Mueller, Lindsey and Roberts"
669,45,2024-10-22,Travel,8493.94,Hughes-Frye
670,45,2024-12-25,Deposition,2473.53,Church-Brown
671,45,2024-11-07,Court Fees,2931.36,Oliver Group
672,45,2024-11-25,Filing Fees,3486.07,"Bush, Holland and Fischer"
673,45,2024-09-27,Document Review,13616.73,"Gonzalez, Hardy and Lee"
674,45,2024-09-07,Research/Legal Database,9932.99,"Jones, Rivers and Moss"
675,45,2024-06-30,Filing Fees,1746.21,Patterson PLC
676,45,2024-07-30,Mediation Services,11758.95,Silva LLC
677,45,2024-06-07,Document Review,9479.17,Mckinney-Moore
678,45,2024-07-07,Transcript Services,11000.86,Carlson-Ayala
679,46,2023-04-04,Deposition,4942.36,"Turner, Tyler and Pierce"
680,46,2022-09-26,Mediation Services,13707.16,"Stewart, Robinson and White"
681,46,2022-09-24,Deposition,8414.97,"Moore, Daniels and Powell"
682,46,2022-12-30,Investigation,5264.6,Alvarado LLC
683,46,2023-01-03,Transcript Services,5553.68,Clements PLC
684,46,2023-03-03,Mediation Services,2333.07,"Colon, Zavala and Smith"
685,46,2023-04-19,Mediation Services,11257.51,Allen-May
686,46,2023-07-14,Transcript Services,1244.46,Haley Ltd
687,46,2023-07-03,Research/Legal Database,1536.13,Moon-Landry
688,46,2023-01-12,Transcript Services,7210.03,"Ramsey, Johnson and Black"
689,46,2023-05-24,Mediation Services,9333.44,"Lang, Griffin and Williams"
690,46,2023-07-07,Court Fees,4190.01,Flores Inc
691,46,2023-07-25,Document Review,8167.84,Bonilla PLC
692,46,2023-03-03,Travel,6753.68,"Jones, Santiago and Ayala"
693,46,2023-06-26,Investigation,13531.35,Houston-Harris
694,46,2023-06-13,Investigation,708.64,"Rowe, Lucas and Case"
695,46,2023-05-16,Deposition,7755.51,Johnson Ltd
696,46,2022-12-24,Mediation Services,4839.11,Jones and Sons
697,46,2023-06-02,Document Review,13918.89,"Jones, Underwood and Bartlett"
698,46,2023-01-19,Court Fees,4054.58,Mccoy-Hamilton
699,46,2022-09-06,Travel,4829.09,"Wilson, Smith and Cortez"
700,46,2022-09-22,Research/Legal Database,8084.55,"Richards, Haynes and Jones"
701,46,2023-07-18,Filing Fees,4919.19,Roberts Ltd
702,47,2022-11-26,Court Fees,1320.01,Campbell Group
703,47,2022-12-27,Travel,6743.76,"Johnson, Moore and Robinson"
704,47,2023-05-19,Travel,5753.47,"Phillips, Walters and Evans"
705,47,2023-07-13,Deposition,7767.87,"Wong, Bernard and Smith"
706,47,2023-07-08,Mediation Services,2154.12,Martinez Inc
707,47,2023-03-12,Court Fees,3101.55,Medina-Arroyo
708,47,2022-11-27,Transcript Services,14798.04,"Figueroa, Swanson and Lewis"
709,47,2023-07-21,Investigation,12597.24,"Thomas, White and Jensen"
710,48,2024-04-12,Document Review,14206.27,White PLC
711,48,2024-11-09,Deposition,6187.94,"Murray, Dunn and Roberts"
712,48,2024-02-07,Expert Witness,38204.98,Gonzalez PLC
713,48,2024-07-04,Transcript Services,10022.02,Howard-Lambert
714,48,2024-04-06,Transcript Services,9638.99,Harvey-Mccullough
715,48,2024-05-05,Research/Legal Database,12584.22,Murphy-Hopkins
716,48,2024-09-14,Investigation,7286.15,Cunningham LLC
717,49,2023-09-23,Deposition,3840.61,Jackson-Edwards
718,49,2023-09-13,Mediation Services,12990.92,"Singh, Graham and Larsen"
719,49,2022-12-13,Filing Fees,3133.41,"Rivera, Castillo and Griffin"
720,49,2023-09-09,Travel,8408.01,Arnold-Thompson
721,49,2023-06-30,Deposition,1804.87,Trevino-Taylor
722,49,2023-06-01,Deposition,7700.62,Gross-Sims
723,50,2022-11-10,Expert Witness,38954.49,Atkinson Ltd
724,50,2022-05-15,Investigation,14437.18,"Riley, Hammond and Lewis"
725,50,2022-05-16,Expert Witness,39596.1,Stephens-Lutz
726,50,2022-09-05,Deposition,2756.43,Diaz and Sons
727,50,2022-12-22,Filing Fees,589.89,"Quinn, Carter and Marshall"
728,50,2022-09-15,Court Fees,1048.37,Cox-Smith
729,50,2022-07-07,Travel,8085.38,"Sutton, Todd and Taylor"
730,50,2022-06-17,Court Fees,546.96,"Fry, Hopkins and Faulkner"
731,50,2022-11-12,Mediation Services,2321.93,Crosby-Williams
732,50,2022-11-19,Transcript Services,14779.0,Brown LLC
733,50,2022-07-06,Document Review,2448.82,"Clark, Velez and Ward"
734,50,2022-09-05,Deposition,4146.06,Keith-Williams
735,50,2022-10-21,Travel,7511.56,Padilla PLC
736,50,2022-10-17,Expert Witness,30828.55,Davenport-Baker
737,50,2022-09-24,Mediation Services,5257.31,Bennett Group
738,50,2022-08-09,Mediation Services,12065.22,"Villanueva, Miller and King"
739,50,2023-01-12,Mediation Services,10899.09,Black LLC
740,50,2022-12-03,Expert Witness,17753.32,Tucker-Olson
741,50,2022-10-09,Expert Witness,44569.38,"Macias, Gonzales and Hall"
742,50,2022-09-16,Document Review,3576.57,Lewis-Lopez
743,50,2022-08-08,Investigation,3495.47,"Montoya, Guerrero and Perry"
744,50,2022-07-31,Court Fees,4576.0,Olson Group
745,51,2024-08-05,Investigation,3481.8,"Martin, Whitaker and Johnson"
746,51,2024-04-04,Filing Fees,1129.37,"Vargas, Taylor and Hunt"
747,51,2024-11-30,Investigation,1643.56,Brown LLC
748,51,2024-12-09,Deposition,5586.91,"Mullen, Greene and Elliott"
749,51,2024-03-28,Transcript Services,6313.68,"Luna, Nicholson and Valentine"
750,51,2024-05-23,Travel,2880.87,"Haney, Dillon and Jackson"
751,51,2024-11-12,Travel,8186.31,"Thomas, Aguilar and Saunders"
752,51,2024-09-15,Expert Witness,36694.15,"Baker, Ramsey and Cooper"
753,51,2024-07-29,Deposition,5900.97,"Jones, Gray and Anderson"
754,51,2024-03-27,Filing Fees,906.56,"Heath, Gordon and Barnes"
755,51,2024-05-04,Document Review,7030.26,Thompson PLC
756,51,2024-09-08,Travel,1773.53,"Gordon, Wilson and Olson"
757,51,2024-04-28,Deposition,8746.97,"Ryan, Smith and Pace"
758,51,2024-10-01,Filing Fees,1577.34,Boyd-Wood
759,51,2024-04-04,Investigation,8737.45,"Patterson, Mays and Olson"
760,51,2024-10-26,Deposition,4120.46,Chapman-Figueroa
761,51,2024-10-24,Court Fees,955.68,"Johnston, Coleman and Scott"
762,51,2024-10-25,Document Review,4068.44,Campbell PLC
763,51,2024-07-16,Transcript Services,1117.52,Smith Ltd
764,51,2024-11-01,Research/Legal Database,12655.63,"Mills, Meyer and Brooks"
765,51,2024-05-20,Travel,5243.83,Ortiz-Rodriguez
766,52,2022-08-15,Investigation,908.51,"King, Wyatt and Henderson"
767,52,2022-08-02,Research/Legal Database,8398.18,Braun-Sanders
768,52,2022-06-29,Filing Fees,4985.46,"Bowers, Olson and Wood"
769,52,2022-09-11,Filing Fees,2344.37,Hinton-Lane
770,52,2022-10-28,Deposition,9227.01,Fitzgerald-Wyatt
771,52,2022-10-03,Document Review,3067.79,"Hall, Logan and Avery"
772,52,2022-06-07,Court Fees,2199.7,"Morales, Morgan and Pierce"
773,52,2022-10-11,Document Review,4218.16,"Williams, Price and Fields"
774,52,2022-11-03,Filing Fees,844.45,Ruiz PLC
775,52,2022-08-17,Court Fees,3305.53,Baker LLC
776,53,2022-07-21,Deposition,6711.45,Ramsey Group
777,53,2023-09-08,Travel,4012.86,"Mitchell, Stuart and Brown"
778,53,2024-01-10,Document Review,6439.12,Bowman Group
779,53,2022-05-28,Document Review,1121.38,"Galvan, Holmes and Lee"
780,53,2024-01-18,Deposition,9670.01,"Black, Hall and Jackson"
781,53,2022-06-16,Expert Witness,13500.92,Pena and Sons
782,53,2022-07-26,Mediation Services,8429.51,Chan-Gomez
783,53,2023-03-22,Research/Legal Database,7611.02,"Gonzalez, Smith and Padilla"
784,53,2024-05-02,Travel,1074.45,"Mitchell, Gallegos and Herman"
785,53,2023-02-14,Research/Legal Database,7555.79,Perez-Mccarty
786,53,2023-05-07,Travel,4799.99,Andrews-Green
787,53,2023-03-31,Mediation Services,13149.26,Hansen PLC
788,53,2023-01-03,Document Review,9689.52,Pratt LLC
789,53,2024-03-29,Document Review,7072.67,"Wright, Ramos and Bennett"
790,53,2023-05-30,Mediation Services,11447.18,Todd Group
791,53,2023-10-30,Travel,6327.8,"Atkins, Olson and Scott"
792,53,2023-03-12,Travel,9339.09,Rhodes and Sons
793,53,2024-01-30,Transcript Services,6470.54,Moses-Black
794,53,2022-05-27,Expert Witness,23827.51,Wright-Davis
795,54,2024-03-05,Document Review,10580.0,Jones-Velazquez
796,54,2024-01-08,Transcript Services,9587.09,Robinson-Berry
797,54,2023-10-15,Expert Witness,30635.05,"Vega, Browning and Porter"
798,54,2023-10-19,Research/Legal Database,7832.02,"Allen, Baker and Perez"
799,54,2024-04-21,Document Review,14108.02,"Kelly, Maxwell and Wilson"
800,54,2023-09-14,Mediation Services,7088.0,"Vasquez, Smith and Vincent"
801,54,2024-05-26,Document Review,13131.95,Watson-Stewart
802,54,2024-05-09,Deposition,2006.97,"Melton, Henry and Joyce"
803,54,2024-05-14,Travel,8480.42,Sanders-Christensen
804,54,2023-09-29,Deposition,5838.74,"Lloyd, Mendoza and Fernandez"
805,54,2024-01-15,Investigation,2468.88,Dalton-Parsons
806,54,2024-01-02,Investigation,2287.65,Wolfe Group
807,54,2023-11-22,Document Review,13379.86,Smith and Sons
808,54,2023-12-11,Expert Witness,33881.16,Nguyen PLC
809,54,2024-04-28,Filing Fees,4127.2,Dunn and Sons
810,54,2023-11-09,Mediation Services,14784.23,"Cooper, White and Coleman"
811,54,2023-12-22,Court Fees,3909.02,Diaz-Morales
812,55,2023-10-16,Expert Witness,14139.28,"Anderson, Johnston and Perez"
813,55,2023-02-23,Travel,6315.83,Brock-Peters
814,55,2024-07-13,Mediation Services,13566.61,Thomas Ltd
815,55,2023-03-28,Mediation Services,7654.56,Thompson Group
816,55,2023-03-18,Mediation Services,7313.45,"Holmes, Le and Floyd"
817,55,2023-07-07,Deposition,9656.21,"Garrison, Williams and Garcia"
818,55,2023-04-07,Travel,7590.68,Cervantes Group
819,55,2024-07-01,Travel,4642.33,Cole LLC
820,55,2023-06-10,Investigation,7017.85,Castro-Frederick
821,55,2023-06-09,Document Review,1867.25,Jenkins LLC
822,55,2024-07-20,Expert Witness,32226.93,"Gonzalez, Johnston and Banks"
823,55,2023-04-14,Transcript Services,13740.59,Kelly-Nunez
824,55,2023-11-09,Deposition,2737.01,"Griffin, Miller and Austin"
825,56,2024-07-28,Filing Fees,4861.96,Oneill Ltd
826,56,2024-11-05,Research/Legal Database,8401.79,Fisher-Salazar
827,56,2024-07-11,Filing Fees,1099.58,Miller LLC
828,56,2024-05-21,Document Review,11919.1,Delgado-Page
829,56,2024-09-07,Expert Witness,46572.34,Nelson-Wallace
830,56,2024-11-21,Court Fees,3448.44,Adkins-Meyer
831,56,2024-07-24,Research/Legal Database,13004.17,White Inc
832,56,2024-04-21,Travel,9049.95,Stanley Ltd
833,56,2024-10-05,Transcript Services,1005.33,Clark Group
834,56,2024-04-14,Deposition,5051.89,Zuniga Group
835,56,2024-08-22,Research/Legal Database,606.18,Wise PLC
